time slot,delay (secs) - 3G
343,4.4678869152
344,7.6997329426
345,4.4790880489
346,4.463273983
347,4.4279706383
348,4.469292841
349,4.4426040459
350,4.4515578651
351,4.4944803524
352,4.4570374298
353,4.4954366589
354,4.459970932
355,7.6620645332
356,4.4696869755
357,7.570262413
358,4.4783129311
359,7.6063716316
360,4.5161888218
361,4.5482885647
362,4.4839980316
363,4.4578075123
364,4.4728107166
365,7.5912665462
366,7.534377327
367,4.4753255653
368,4.4645402241
369,4.5029635334
370,4.4869863701
371,7.59494277
372,4.4812369061
373,4.4494550037
374,4.4602355003
375,4.4984991169
376,4.4881780052
377,4.4928316879
378,11.7879030609
379,4.4949063873
380,4.5264320087
381,4.4941071987
382,4.4877016258
383,7.8499171448
384,4.5302364445
385,13.6953682613
386,4.5020367813
387,4.5117490101
388,4.5206257915
389,4.5909747887
390,4.553524437
391,4.5052859497
392,4.6139666748
393,4.5600549603
394,4.5934250259
395,4.5344505119
396,4.5157172203
397,6.4853179359
398,4.5036253643
399,13.7621029854
400,4.5134875584
401,4.5473205185
402,10.7230481815
403,6.5220572186
404,4.4879243088
405,4.5858409119
406,4.4826206875
407,4.8900119972
408,4.4645955372
409,6.4792039299
410,4.537644825
411,4.4869517994
412,4.5875189114
413,4.5343448925
414,6.4918928051
415,4.8366126823
416,6.5300311756
417,7.6610020161
418,4.5050437355
419,4.4680180359
420,4.5073258591
421,4.5343327141
422,6.4768940926
423,4.5391487312
424,4.5002248001
425,4.4530725479
426,4.500655632
427,4.7326287937
428,6.5364203072
429,4.4566514111
430,6.4873032475
431,4.4941313076
432,4.5550110149
433,6.6033479786
434,4.5525211525
435,6.5160629559
436,4.5679182911
437,4.5186362076
438,4.5600173187
439,4.475401392
440,6.5310215759
441,4.5040359306
442,4.5009634018
443,4.5951568604
444,4.6504584122
445,4.5008089352
446,4.4792878246
447,4.6157586384
448,4.5368084431
449,4.5250279522
450,13.7555315208
451,4.5547472572
452,4.5210427952
453,4.5294463539
454,6.5539860439
455,4.4916476917
456,4.5612778187
457,4.4840521526
458,4.4900183201
459,4.4784366703
460,6.5777068043
461,4.4846454716
462,4.5213169575
463,13.6084646797
464,4.5035237789
465,4.6036695671
466,4.4609200191
467,6.5870657539
468,13.7129084778
469,4.5336053085
470,4.4522263718
471,4.5635935879
472,13.8497504997
473,4.5867833996
474,6.5688988781
475,13.7920047474
476,4.5784360981
477,4.5297323704
478,4.5248777485
479,4.4839202976
480,4.799277277
481,4.5143894863
482,4.6155440521
483,4.489993782
484,4.5988673878
485,4.5155589104
486,6.560945015
487,4.4820425129
488,4.5419284916
489,4.5063302135
490,4.5138432693
491,4.4920379734
492,4.5828075218
493,4.5688855267
494,4.4929089355
495,4.5057861519
496,6.8900730419
497,4.5019311619
498,4.6029429054
499,4.5011939621
500,4.5063302135
