"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
36,1498892925.2465472,"01/07/2017 15:08:45",18,1,0.38157141418444396,41250000.0,"[0.21545014997631917, 1.0, 0.227345379004954]","[0.2195393378053467, 0.5558226464974192, 0.22463801569723407]",2,1,4.376524209976196,644360,909885.2247946744,0.4853627436848908,0.009333133697509766,14.997199296951294,2896,"[909885.2247946744, 0, 0]","[1, 0, 0]","[7635304.0]","['; gamma used= 0.38157141418444396', 'ALGORITHM RESET DUE TO NETWORK QUALITY DROP', 'exploring after a reset', 'prob current block:0.3333333333333333']"
37,1498892940.2530797,"01/07/2017 15:09:00",19,1,0.3747561767843155,41250000.0,"[0.21723850814299647, 1.0, 0.227345379004954]","[0.2189437500945001, 0.5577380507847451, 0.22331819912075476]",2,2,4.365225791931152,2542688,3586491.1422372414,1.9129423163707067,0.008833885192871094,14.998847007751465,1448,"[909885.2247946744, 3586491.1422372414, 0]","[1, 1, 0]","[909885.2247946744]","['; gamma used= 0.3747561767843155', 'exploring after a reset', 'prob current block:0.5']"
38,1498892955.2607605,"01/07/2017 15:09:15",20,1,0.36840314986403866,41250000.0,"[0.2126487901624508, 1.0, 0.22254212757990666]","[0.21638323779565477, 0.5628796780507253, 0.22073708415362003]",2,3,4.998872518539429,867352,1300989.645012216,0.693976721196989,0.010725259780883789,14.997501850128174,2960,"[909885.2247946744, 3586491.1422372414, 1300989.645012216]","[1, 1, 1]","[3586491.1422372414]","['; gamma used= 0.36840314986403866', 'exploring after a reset', 'prob current block:1.0']"
39,1498892970.2689877,"01/07/2017 15:09:30",21,2,0.3624601243342974,41250000.0,"[0.2126487901624508, 1.0, 0.2233917555841453]","[0.21522690456724622, 0.5647767789853805, 0.21999631644737336]",-1,2,4.634163856506348,1126544,1630278.5138682774,0.8696015582807434,0.009290456771850586,14.99793553352356,0,"[909885.2247946744, 5216769.656105518, 1300989.645012216]","[1, 2, 1]","[1300989.645012216]","['; gamma used= 0.3624601243342974', 'current gain: 1300989.645012216, prev block gain: [3586491.1422372414]', ' ----- switch back']"
40,1498892985.2762136,"01/07/2017 15:09:45",21,2,0.3624601243342974,41250000.0,"[0.2116513548150924, 1.0, 0.22234393004440037]","[0.21388220828337268, 0.567440185743408, 0.21867760597321925]",-1,2,0,2082224,2082224.0,1.1100135305526395,0,15.006836891174316,0,"[909885.2247946744, 7298993.656105518, 1300989.645012216]","[1, 3, 1]","[1300989.645012216]","['; gamma used= 0.3568829277518041', 'no selection ----- in the middle of a block']"
41,1498893000.2830505,"01/07/2017 15:10:00",22,2,0.3568829277518041,41250000.0,"[0.21038421141907349, 1.0, 0.22101277087064128]","[0.21348519230806026, 0.5682542748450347, 0.21826053284690505]",0,2,0,1863576,1863576.0,0.993462377129686,0,15.006716251373291,0,"[909885.2247946744, 9162569.656105518, 1300989.645012216]","[1, 4, 1]","[1630278.5138682774, 2082224.0]","['; gamma used= 0.3568829277518041', 'flipped coin but will not select greedily...', 'choosing randomly']"
42,1498893015.2897668,"01/07/2017 15:10:15",22,2,0.3568829277518041,41250000.0,"[0.2084328346877809, 1.0, 0.21896281105908305]","[0.21188776972524867, 0.5714414279887265, 0.21667080228602487]",0,2,0,1520400,1520400.0,0.8104240390950546,0,15.008439302444458,0,"[909885.2247946744, 10682969.656105518, 1300989.645012216]","[1, 5, 1]","[1630278.5138682774, 2082224.0]","['; gamma used= 0.35163388691695935', 'no selection ----- in the middle of a block']"
43,1498893030.298206,"01/07/2017 15:10:30",23,2,0.35163388691695935,41250000.0,"[0.20685421699475154, 1.0, 0.21730444198219992]","[0.21138427545576222, 0.5724738529363569, 0.21614187160788087]",1,2,0,1478408,1478408.0,0.788163261554113,0,15.006109237670898,0,"[909885.2247946744, 12161377.656105518, 1300989.645012216]","[1, 6, 1]","[1863576.0, 1520400.0]","['; gamma used= 0.35163388691695935', 'flipped coin and will select greedily...', 'averageBytePerNet:[909885.2247946744, 2136593.9312211038, 1300989.645012216], numNetworkHighestAverageByte: 1', 'choosing greedily']"
44,1498893045.3043153,"01/07/2017 15:10:45",23,2,0.35163388691695935,41250000.0,"[0.20514783766723724, 1.0, 0.21551185678397372]","[0.2099016335731444, 0.575430627084613, 0.21466773934224254]",1,2,0,2995912,2995912.0,1.5971496442155089,0,15.006293296813965,0,"[909885.2247946744, 15157289.656105518, 1300989.645012216]","[1, 7, 1]","[1863576.0, 1520400.0]","['; gamma used= 0.3466806371753174', 'no selection ----- in the middle of a block']"
45,1498893060.3106086,"01/07/2017 15:11:00",24,2,0.3466806371753174,41250000.0,"[0.20173299682276988, 1.0, 0.21192449900637603]","[0.20879076741221891, 0.5777084800961036, 0.2135007524916774]",0,1,4.855063199996948,929616,1374657.1013466706,0.7333228557716002,0.009491682052612305,14.996473550796509,2896,"[2284542.3261413453, 15157289.656105518, 1300989.645012216]","[2, 7, 1]","[1478408.0, 2995912.0]","['; gamma used= 0.3466806371753174', 'flipped coin but will not select greedily...', 'choosing randomly']"
46,1498893075.3165739,"01/07/2017 15:11:15",25,2,0.3466806371753174,41250000.0,"[0.20543717489849042, 1.0, 0.21192449900637603]","[0.20937182995989373, 0.5782446243340337, 0.21238354570607249]",-1,2,3.610194206237793,2445672,3220956.9619732513,1.7179905959268178,0.009028911590576172,14.998717546463013,2896,"[2284542.3261413453, 18378246.61807877, 1300989.645012216]","[2, 8, 1]","[1374657.1013466706]","['; gamma used= 0.3419951893353394', 'current gain: 1374657.1013466706, prev block gain: [1478408.0, 2995912.0]', ' ----- switch back']"
47,1498893090.3243203,"01/07/2017 15:11:30",25,2,0.3419951893353394,41250000.0,"[0.20364014812493092, 1.0, 0.21007072546769776]","[0.20794089550783695, 0.5811049228004566, 0.2109541816917065]",-1,2,0,6918544,6918544.0,3.687904635766114,0,15.008075714111328,0,"[2284542.3261413453, 25296790.61807877, 1300989.645012216]","[2, 9, 1]","[1374657.1013466706]","['; gamma used= 0.33755319058958183', 'no selection ----- in the middle of a block']"
48,1498893105.332396,"01/07/2017 15:11:45",26,2,0.33755319058958183,41250000.0,"[0.19983314159494778, 1.0, 0.20614350074812432]","[0.20667208744347487, 0.5836826055293386, 0.20964530702718656]",0,1,4.82834267616272,512592,756030.7742461496,0.40334962213513853,0.012200117111206055,14.995046138763428,0,"[3040573.100387495, 25296790.61807877, 1300989.645012216]","[3, 9, 1]","[3220956.9619732513, 6918544.0]","['; gamma used= 0.33755319058958183', 'flipped coin but will not select greedily...', 'choosing randomly']"
49,1498893120.3396423,"01/07/2017 15:12:00",27,2,0.33755319058958183,41250000.0,"[0.20181193348639367, 1.0, 0.20614350074812432]","[0.2066690284425478, 0.5846109467285092, 0.20872002482894297]",-1,2,3.789463996887207,951336,1272947.3764554085,0.6789590859701338,0.00836491584777832,14.99881100654602,0,"[3040573.100387495, 26569737.994534176, 1300989.645012216]","[3, 10, 1]","[756030.7742461496]","['; gamma used= 0.33333333333333337', 'current gain: 756030.7742461496, prev block gain: [3220956.9619732513, 6918544.0]', ' ----- switch back']"
50,1498893135.3468182,"01/07/2017 15:12:15",27,2,0.33333333333333337,41250000.0,"[0.201129452279418, 1.0, 0.20544637118412726]","[0.20567478631956138, 0.5865920352002016, 0.20773317848023698]",-1,2,0,3606968,3606968.0,1.9227309499362168,0,15.007686853408813,0,"[3040573.100387495, 30176705.994534176, 1300989.645012216]","[3, 11, 1]","[756030.7742461496]","['; gamma used= 0.32931687800417475', 'no selection ----- in the middle of a block']"
51,1498893150.354505,"01/07/2017 15:12:30",28,2,0.32931687800417475,41250000.0,"[0.19920811289701829, 1.0, 0.20348379335450736]","[0.20502166174847797, 0.5879123026066062, 0.20706603564491585]",1,2,0,6321968,6321968.0,3.3702419529461385,0,15.006561756134033,0,"[3040573.100387495, 36498673.99453418, 1300989.645012216]","[3, 12, 1]","[1272947.3764554085, 3606968.0]","['; gamma used= 0.32931687800417475', 'flipped coin and will select greedily...', 'averageBytePerNet:[1013524.3667958317, 2743336.908594016, 1300989.645012216], numNetworkHighestAverageByte: 1', 'choosing greedily']"
52,1498893165.3610668,"01/07/2017 15:12:45",28,2,0.32931687800417475,41250000.0,"[0.19269217929865384, 1.0, 0.19682800576353357]","[0.2020340354785038, 0.5939242808984125, 0.20404168362308367]",1,2,0,7318192,7318192.0,3.9010733708842955,0,15.007545471191406,0,"[3040573.100387495, 43816865.99453418, 1300989.645012216]","[3, 13, 1]","[1272947.3764554085, 3606968.0]","['; gamma used= 0.32548726473766765', 'no selection ----- in the middle of a block']"
53,1498893180.3686123,"01/07/2017 15:13:00",29,2,0.32548726473766765,41250000.0,"[0.1854151510752874, 1.0, 0.1893947878804652]","[0.1994646060730768, 0.5991182883622804, 0.20141710556464287]",0,1,4.660851240158081,635672,922338.9543572838,0.4920422293461757,0.010066747665405273,14.996094226837158,0,"[3962912.0547447787, 43816865.99453418, 1300989.645012216]","[4, 13, 1]","[6321968.0, 7318192.0]","['; gamma used= 0.32548726473766765', 'flipped coin but will not select greedily...', 'choosing randomly']"
54,1498893195.3747733,"01/07/2017 15:13:15",30,2,0.32548726473766765,41250000.0,"[0.18765833510519395, 1.0, 0.1893947878804652]","[0.19969445021449234, 0.5997559324644236, 0.20054961732108406]",-1,2,5.213176727294922,1972176,3022810.0341566564,1.6122745713273716,0.008252859115600586,14.99898386001587,0,"[3962912.0547447787, 46839676.02869084, 1300989.645012216]","[4, 14, 1]","[922338.9543572838]","['; gamma used= 0.3218297948685433', 'current gain: 922338.9543572838, prev block gain: [6321968.0, 7318192.0]', ' ----- switch back']"
55,1498893210.38201,"01/07/2017 15:13:30",30,2,0.3218297948685433,41250000.0,"[0.18620479994180614, 1.0, 0.1879278027673749]","[0.1984814331211236, 0.6021824003957849, 0.1993361664830915]",-1,2,0,2956816,2956816.0,1.5761880623786404,0,15.007427453994751,0,"[3962912.0547447787, 49796492.02869084, 1300989.645012216]","[4, 15, 1]","[922338.9543572838]","['; gamma used= 0.31833136784577337', 'no selection ----- in the middle of a block']"
