"timestamp","date time","EcIo","RSCP"
1494236993.4766247,"08/05/2017 17:49:53"," 134d3"," -12"," -93"
1494236994.9892309,"08/05/2017 17:49:54"," 134d3"," -12"," -96"
1494236996.4982114,"08/05/2017 17:49:56"," 134d3"," -15"," -96"
1494236998.0085053,"08/05/2017 17:49:58"," 134d3"," -12"," -100"
1494236999.5187223,"08/05/2017 17:49:59"," 134d3"," -12"," -92"
1494237001.0297205,"08/05/2017 17:50:01"," 134d3"," -13"," -92"
1494237002.5425658,"08/05/2017 17:50:02"," 134d3"," -13"," -95"
1494237004.044601,"08/05/2017 17:50:04"," 134d3"," -12"," -91"
1494237005.548313,"08/05/2017 17:50:05"," 134d3"," -13"," -96"
1494237007.058152,"08/05/2017 17:50:07"," 134d3"," -13"," -91"
1494237008.5706642,"08/05/2017 17:50:08"," 134d3"," -13"," -94"
1494237010.0738595,"08/05/2017 17:50:10"," 134d3"," -13"," -95"
1494237011.585525,"08/05/2017 17:50:11"," 134d3"," -12"," -94"
1494237013.0949264,"08/05/2017 17:50:13"," 134d3"," -13"," -98"
1494237014.6058753,"08/05/2017 17:50:14"," 134d3"," -13"," -95"
1494237016.117555,"08/05/2017 17:50:16"," 134d3"," -13"," -94"
1494237017.6262581,"08/05/2017 17:50:17"," 134d3"," -13"," -93"
1494237019.1286085,"08/05/2017 17:50:19"," 134d3"," -12"," -101"
1494237020.6409245,"08/05/2017 17:50:20"," 134d3"," -13"," -95"
1494237022.151472,"08/05/2017 17:50:22"," 134d3"," -13"," -94"
1494237023.6660855,"08/05/2017 17:50:23"," 134d3"," -13"," -93"
1494237025.181193,"08/05/2017 17:50:25"," 134d3"," -13"," -94"
1494237026.687195,"08/05/2017 17:50:26"," 134d3"," -13"," -93"
1494237028.2032504,"08/05/2017 17:50:28"," 134d3"," -13"," -102"
1494237029.7099526,"08/05/2017 17:50:29"," 134d3"," -12"," -96"
1494237031.213926,"08/05/2017 17:50:31"," 134d3"," -12"," -94"
1494237032.7261965,"08/05/2017 17:50:32"," 134d3"," -13"," -94"
1494237034.2394876,"08/05/2017 17:50:34"," 134d3"," -11"," -100"
1494237035.7424974,"08/05/2017 17:50:35"," 134d3"," -11"," -101"
1494237037.2457116,"08/05/2017 17:50:37"," 134d3"," -11"," -95"
1494237038.7562704,"08/05/2017 17:50:38"," 134d3"," -12"," -97"
1494237040.2671168,"08/05/2017 17:50:40"," 134d3"," -12"," -98"
1494237041.7722616,"08/05/2017 17:50:41"," 134d3"," -12"," -97"
1494237043.2834425,"08/05/2017 17:50:43"," 134d3"," -23"," -107"
1494237044.7892022,"08/05/2017 17:50:44"," 134d3"," -20"," -106"
1494237046.3025255,"08/05/2017 17:50:46"," 134d3"," -16"," -101"
1494237047.8082876,"08/05/2017 17:50:47"," 134d3"," -18"," -101"
1494237049.321083,"08/05/2017 17:50:49"," 134d3"," -15"," -99"
1494237050.8313832,"08/05/2017 17:50:50"," 134d3"," -15"," -98"
1494237052.3391252,"08/05/2017 17:50:52"," 134d3"," -15"," -97"
1494237053.852608,"08/05/2017 17:50:53"," 134d3"," -14"," -94"
1494237055.3626177,"08/05/2017 17:50:55"," 134d3"," -12"," -92"
1494237056.8725102,"08/05/2017 17:50:56"," 134d3"," -13"," -92"
1494237058.3815126,"08/05/2017 17:50:58"," 134d3"," -12"," -90"
1494237059.890033,"08/05/2017 17:50:59"," 134d3"," -13"," -93"
1494237061.391456,"08/05/2017 17:51:01"," 134d3"," -13"," -92"
1494237062.905634,"08/05/2017 17:51:02"," 134d3"," -14"," -95"
1494237064.4114463,"08/05/2017 17:51:04"," 134d3"," -13"," -92"
1494237065.9187982,"08/05/2017 17:51:05"," 134d3"," -12"," -91"
1494237067.422054,"08/05/2017 17:51:07"," 134d3"," -13"," -92"
1494237068.9307907,"08/05/2017 17:51:08"," 134d3"," -13"," -93"
1494237070.432433,"08/05/2017 17:51:10"," 134d3"," -13"," -92"
1494237071.9418423,"08/05/2017 17:51:11"," 134d3"," -10"," -94"
1494237073.45309,"08/05/2017 17:51:13"," 134d3"," -13"," -93"
1494237074.9633045,"08/05/2017 17:51:14"," 134d3"," -13"," -93"
1494237076.4755056,"08/05/2017 17:51:16"," 134d3"," -13"," -93"
1494237077.982982,"08/05/2017 17:51:17"," 134d3"," -12"," -95"
1494237079.4962242,"08/05/2017 17:51:19"," 134d3"," -12"," -96"
1494237081.0063658,"08/05/2017 17:51:21"," 134d3"," -13"," -95"
1494237082.5130932,"08/05/2017 17:51:22"," 134d3"," -10"," -92"
1494237084.0213416,"08/05/2017 17:51:24"," 134d3"," -13"," -92"
1494237085.5303311,"08/05/2017 17:51:25"," 134d3"," -8"," -90"
1494237087.0405972,"08/05/2017 17:51:27"," 134d3"," -13"," -95"
1494237088.5510857,"08/05/2017 17:51:28"," 134d3"," -14"," -96"
1494237090.0615323,"08/05/2017 17:51:30"," 134d3"," -15"," -99"
1494237091.5774047,"08/05/2017 17:51:31"," 134d3"," -14"," -97"
1494237093.0911694,"08/05/2017 17:51:33"," 134d3"," -8"," -94"
1494237094.6046894,"08/05/2017 17:51:34"," 134d3"," -13"," -96"
1494237096.1058311,"08/05/2017 17:51:36"," 134d3"," -13"," -98"
1494237097.62554,"08/05/2017 17:51:37"," 134d3"," -13"," -96"
1494237099.1312344,"08/05/2017 17:51:39"," 134d3"," -11"," -96"
1494237100.6425676,"08/05/2017 17:51:40"," 134d3"," -14"," -97"
1494237102.1499226,"08/05/2017 17:51:42"," 134d3"," -12"," -96"
1494237103.660126,"08/05/2017 17:51:43"," 134d3"," -14"," -98"
1494237105.170967,"08/05/2017 17:51:45"," 134d3"," -9"," -93"
1494237106.674262,"08/05/2017 17:51:46"," 134d3"," -13"," -95"
1494237108.1879723,"08/05/2017 17:51:48"," 134d3"," -11"," -94"
1494237109.6872656,"08/05/2017 17:51:49"," 134d3"," -13"," -96"
1494237111.1996293,"08/05/2017 17:51:51"," 134d3"," -13"," -95"
1494237112.7067451,"08/05/2017 17:51:52"," 134d3"," -14"," -95"
1494237114.208028,"08/05/2017 17:51:54"," 134d3"," -16"," -99"
1494237115.7195988,"08/05/2017 17:51:55"," 134d3"," -13"," -95"
1494237117.2228699,"08/05/2017 17:51:57"," 134d3"," -15"," -99"
1494237118.7285702,"08/05/2017 17:51:58"," 134d3"," -14"," -97"
1494237120.2486918,"08/05/2017 17:52:00"," 134d3"," -13"," -99"
1494237121.7506394,"08/05/2017 17:52:01"," 134d3"," -13"," -99"
1494237123.2622433,"08/05/2017 17:52:03"," 134d3"," -12"," -95"
1494237124.7643383,"08/05/2017 17:52:04"," 134d3"," -11"," -95"
1494237126.2774768,"08/05/2017 17:52:06"," 134d3"," -12"," -97"
1494237127.7806177,"08/05/2017 17:52:07"," 134d3"," -13"," -97"
1494237129.2896683,"08/05/2017 17:52:09"," 134d3"," -12"," -96"
1494237130.7993588,"08/05/2017 17:52:10"," 134d3"," -13"," -96"
1494237132.3141875,"08/05/2017 17:52:12"," 134d3"," -13"," -95"
1494237133.8186262,"08/05/2017 17:52:13"," 134d3"," -13"," -97"
1494237135.3239348,"08/05/2017 17:52:15"," 134d3"," -13"," -96"
1494237136.8277848,"08/05/2017 17:52:16"," 134d3"," -12"," -95"
1494237138.3319016,"08/05/2017 17:52:18"," 134d3"," -10"," -95"
1494237139.8367062,"08/05/2017 17:52:19"," 134d3"," -13"," -97"
1494237141.3384016,"08/05/2017 17:52:21"," 134d3"," -11"," -95"
1494237142.8465188,"08/05/2017 17:52:22"," 134d3"," -11"," -96"
1494237144.3573406,"08/05/2017 17:52:24"," 134d3"," -13"," -98"
1494237145.8591642,"08/05/2017 17:52:25"," 134d3"," -13"," -97"
1494237147.3683746,"08/05/2017 17:52:27"," 134d3"," -12"," -98"
1494237148.8873658,"08/05/2017 17:52:28"," 134d3"," -13"," -98"
1494237150.401943,"08/05/2017 17:52:30"," 134d3"," -12"," -97"
1494237151.9057972,"08/05/2017 17:52:31"," 134d3"," -13"," -99"
1494237153.4112265,"08/05/2017 17:52:33"," 134d3"," -12"," -97"
1494237154.9114072,"08/05/2017 17:52:34"," 134d3"," -13"," -98"
1494237156.4200923,"08/05/2017 17:52:36"," 134d3"," -12"," -97"
1494237157.9318697,"08/05/2017 17:52:37"," 134d3"," -11"," -95"
1494237159.43453,"08/05/2017 17:52:39"," 134d3"," -13"," -97"
1494237160.9419744,"08/05/2017 17:52:40"," 134d3"," -12"," -95"
1494237162.455623,"08/05/2017 17:52:42"," 134d3"," -14"," -95"
1494237163.9589727,"08/05/2017 17:52:43"," 134d3"," -15"," -98"
1494237165.4621181,"08/05/2017 17:52:45"," 134d3"," -14"," -96"
