"timestamp","date time","EcIo","RSCP"
1494491975.4706683,"11/05/2017 16:39:35"," 134d3"," -10"," -93"
1494491976.9730191,"11/05/2017 16:39:36"," 134d3"," -11"," -92"
1494491978.4887958,"11/05/2017 16:39:38"," 134d3"," -12"," -94"
1494491979.992095,"11/05/2017 16:39:39"," 134d3"," -13"," -93"
1494491981.5065858,"11/05/2017 16:39:41"," 134d3"," -11"," -93"
1494491983.015258,"11/05/2017 16:39:43"," 134d3"," -11"," -94"
1494491984.5101643,"11/05/2017 16:39:44"," 134d3"," -11"," -92"
1494491985.955909,"11/05/2017 16:39:45"," 134d3"," -10"," -91"
1494491987.4125211,"11/05/2017 16:39:47"," 134d3"," -9"," -92"
1494491988.880236,"11/05/2017 16:39:48"," 134d3"," -9"," -90"
1494491990.353232,"11/05/2017 16:39:50"," 134d3"," -11"," -94"
1494491991.8308783,"11/05/2017 16:39:51"," 134d3"," -11"," -93"
1494491993.3111246,"11/05/2017 16:39:53"," 134d3"," -11"," -93"
1494491994.8017404,"11/05/2017 16:39:54"," 1347c"," -11"," -94"
1494491996.3005214,"11/05/2017 16:39:56"," 1347c"," -14"," -99"
1494491997.7915576,"11/05/2017 16:39:57"," 1347c"," -11"," -93"
1494491999.2934816,"11/05/2017 16:39:59"," 1347c"," -10"," -93"
1494492000.7949057,"11/05/2017 16:40:00"," fffff"," -12"," -93"
1494492002.2972174,"11/05/2017 16:40:02"," fffff"," -12"," -93"
1494492003.8077974,"11/05/2017 16:40:03"," fffff"," -12"," -91"
1494492005.305593,"11/05/2017 16:40:05"," fffff"," -13"," -95"
1494492006.8122919,"11/05/2017 16:40:06"," fffff"," -12"," -95"
1494492008.316652,"11/05/2017 16:40:08"," fffff"," -13"," -99"
1494492009.8154607,"11/05/2017 16:40:09"," fffff"," -11"," -96"
1494492011.3254597,"11/05/2017 16:40:11"," fffff"," -10"," -97"
1494492012.8283873,"11/05/2017 16:40:12"," fffff"," -10"," -94"
1494492014.3387883,"11/05/2017 16:40:14"," fffff"," -11"," -92"
1494492015.8511465,"11/05/2017 16:40:15"," fffff"," -11"," -92"
1494492017.3636382,"11/05/2017 16:40:17"," fffff"," -9"," -94"
