Time slot,smartEXP3,greedy
237,10.7916796174,21.4059068812
238,10.7622644874,21.516468973
239,10.8806232913,21.7374068091
240,10.784499485,21.6866524532
241,11.3111319142,20.9962454221
242,11.8597593114,20.4513714241
243,12.1747688915,20.1705881046
244,12.1325990792,20.0986101236
245,12.0691985408,20.4966799669
246,11.8576927258,20.8995950411
247,11.73799374,21.1698273334
248,11.707929275,21.4746386739
249,11.5534201007,22.0588248736
250,11.6293920427,22.1791349266
251,11.8502429499,21.9956690471
252,11.6947888267,21.9815228715
253,11.4857112613,22.0294160078
254,11.673514865,21.7882767134
255,11.6515442059,21.4615911935
256,11.6269134183,21.3998022558
257,11.5817997927,21.4427337683
258,11.8934081036,21.2796996704
259,11.3857760961,21.355748969
260,11.4670328576,21.5555599788
261,11.3687476807,21.7066311123
262,11.3910876978,21.6375988198
263,10.9696744406,21.9665756485
264,10.9659210437,21.9979854053
265,10.7422189893,22.2312355185
266,10.7110452458,22.0611535804
267,10.7579505309,22.2502211982
268,10.8744935662,22.7239989035
269,11.2065165717,22.7598160625
270,11.6066605853,22.0582966297
271,11.6652651735,21.9841025619
272,11.9523311504,21.5687570072
273,11.9513628462,21.2143035447
274,11.8648940946,20.9475987275
275,11.4130657659,21.1636138242
276,10.9000720913,21.7823154453
277,10.0083237667,22.670347007
278,9.5828186877,22.9629959611
279,9.8677754868,22.6648470051
280,9.9887534038,22.7383375796
281,10.3700984705,22.7828491248
282,10.3629245407,22.4542944131
283,10.4977770356,21.9517062549
284,9.747064924,22.5282881241
285,9.168405241,23.3373505911
286,9.3309263384,22.9050918008
287,9.1945758308,23.1534915308
288,9.0837582101,23.6034292396
289,8.9784195707,23.8270261359
290,8.7845787996,23.3106046758
291,7.9726367004,23.9588003169
292,7.9354652491,24.1429859385
293,8.0694529893,23.7353275227
294,8.256120036,24.2469701771
295,9.0265028771,24.3221704521
296,9.5470336447,24.2076749245
297,10.2557590591,23.5057983773
298,10.4542180027,23.7639684863
299,10.743974185,23.5537114809
300,10.891258024,23.7782130617
301,11.5775309662,23.6922819948
302,11.6185843289,23.8794120786
303,11.6074646811,23.8330160214
304,11.7364207496,23.5198103897
305,11.6233465224,23.6297155413
306,11.0572038521,23.3937212552
307,10.8908997949,23.2194387436
308,10.6970388382,23.4162351292
309,10.6065106126,23.5793540216
310,10.4711909998,23.5624977514
311,10.5382861065,24.0750691487
312,9.8933869141,24.6892079247
313,9.4847338277,24.7704713553
314,9.1881379585,24.4081637795
315,8.7281531064,24.0718145245
316,8.0317377849,24.0564615928
317,8.1799244809,24.0016173031
318,8.3403273403,23.951370204
319,8.4283942185,24.6081856373
320,8.5792833203,24.7145403231
321,9.1012706064,24.2695769899
322,9.2468828163,23.7711174835
323,9.3577644304,23.8132741949
324,9.3469625765,23.3150442222
325,9.4085697472,23.6171033405
326,9.7690946051,23.4958969653
327,10.3805437644,23.4534385162
328,10.9747276044,23.0291510927
329,11.21056039,22.935356444
330,11.7432893602,22.4350135943
331,11.3663154599,22.5573624295
332,10.304435789,22.8066493935
333,9.4906936545,23.108918481
334,8.6105056836,23.2177515754
335,8.0625308014,23.6240921045
336,7.8881570205,23.7517423505
337,8.3891131604,23.9126210091
338,8.5574736858,24.2912858044
339,8.8856765285,24.6380802297
340,8.7107662506,24.896033567
341,8.4368749698,25.4165538014
342,8.5925986398,25.6375776689
343,8.6219962413,25.3224799029
344,8.7200780221,25.3317045089
345,9.0181946036,24.8737951823
346,9.238474543,24.6034212651
347,9.0034563815,24.2870443005
348,9.0572651098,24.2678218333
349,9.3040142651,23.5310961571
350,9.1884307857,23.4384521416
351,9.1978674457,23.3954451873
352,9.3953324874,23.1024492853
