"time slot","timestamp","date time","block index","block length","gamma","max gain","weight","probability","selection type","network selected","delay","#bytes","#bytes w/o delay","bit rate (Mbps)","selection duration","connect and download duration","#bytes downloaded during selection by previous network","#bytes per network","#time network selected","gain prev block","log"
43,1498747350.439907,"29/06/2017 22:42:30",22,1,0.3568829277518041,41250000.0,"[0.2476637533156948, 0.24496319737621824, 1.0]","[0.22567001521242191, 0.2245064467612201, 0.549823538026358]",2,3,4.052071571350098,5044928,6912478.551012678,3.6871027929853355,0.013630151748657227,14.998179197311401,2896,"[1562287.1586971043, 0, 6912478.551012678]","[1, 0, 1]","[1562287.1586971043]","['; gamma used= 0.3568829277518041', 'exploring after a reset', 'prob current block:0.5']"
44,1498747365.4517164,"29/06/2017 22:42:45",23,1,0.35163388691695935,41250000.0,"[0.23812329157200954, 0.2355267659974222, 1.0]","[0.2219790946140896, 0.2208366936854101, 0.5571842117005004]",2,2,4.774632930755615,3030664,4446082.448188201,2.3715640028716547,0.014294624328613281,14.997975826263428,7400,"[1562287.1586971043, 4446082.448188201, 6912478.551012678]","[1, 1, 1]","[6912478.551012678]","['; gamma used= 0.35163388691695935', 'exploring after a reset', 'prob current block:1.0']"
45,1498747380.4639869,"29/06/2017 22:43:00",24,2,0.3466806371753174,41250000.0,"[0.23812329157200954, 0.23847872042579193, 1.0]","[0.2209173471237364, 0.22107460585045885, 0.5580080470258048]",-1,3,4.05638575553894,6596488,9042014.06305287,4.82306409781375,0.013523101806640625,14.997957944869995,2896,"[1562287.1586971043, 4446082.448188201, 15954492.614065548]","[1, 1, 2]","[4446082.448188201]","['; gamma used= 0.3466806371753174', 'current gain: 4446082.448188201, prev block gain: [6912478.551012678]', ' ----- switch back']"
46,1498747395.475468,"29/06/2017 22:43:15",24,2,0.3466806371753174,41250000.0,"[0.23224668031077325, 0.23259333758580367, 1.0]","[0.21832339510594023, 0.2184791132402314, 0.5631974916538284]",-1,3,0,9120856,9120856.0,4.860526752781205,0,15.01212763786316,0,"[1562287.1586971043, 4446082.448188201, 25075348.61406555]","[1, 1, 3]","[4446082.448188201]","['; gamma used= 0.3419951893353394', 'no selection ----- in the middle of a block']"
47,1498747410.4875956,"29/06/2017 22:43:30",25,2,0.3419951893353394,41250000.0,"[0.2264657477089917, 0.22680377621765963, 1.0]","[0.21653653475317752, 0.21668958577446662, 0.5667738794723558]",0,1,3.894212007522583,3214560,4342376.4712196,2.3169082094985245,0.01648092269897461,14.993693590164185,0,"[5904663.629916704, 4446082.448188201, 25075348.61406555]","[2, 1, 3]","[9042014.06305287, 9120856.0]","['; gamma used= 0.3419951893353394', 'flipped coin but will not select greedily...', 'choosing randomly']"
48,1498747425.49777,"29/06/2017 22:43:45",26,2,0.3419951893353394,41250000.0,"[0.23919866995003602, 0.22680377621765963, 1.0]","[0.2206051321908697, 0.21500421533874686, 0.5643906524703834]",-1,3,3.944493293762207,6682040,9303865.030397179,5.317438434068708,0.014865875244140625,13.997514247894287,8688,"[5904663.629916704, 4446082.448188201, 34379213.64446273]","[2, 1, 4]","[4342376.4712196]","['; gamma used= 0.33755319058958183', 'current gain: 4342376.4712196, prev block gain: [9042014.06305287, 9120856.0]', ' ----- switch back']"
49,1498747439.5101502,"29/06/2017 22:43:59",26,2,0.33755319058958183,41250000.0,"[0.23327862293458432, 0.2211904966004653, 1.0]","[0.21803609141327412, 0.21249540940003975, 0.5694684991866862]",-1,3,0,4519048,4519048.0,2.408362381576599,0,15.011189460754395,0,"[5904663.629916704, 4446082.448188201, 38898261.64446273]","[2, 1, 5]","[4342376.4712196]","['; gamma used= 0.33333333333333337', 'no selection ----- in the middle of a block']"
50,1498747454.5213397,"29/06/2017 22:44:14",27,2,0.33333333333333337,41250000.0,"[0.23045624682663865, 0.2185143715228372, 1.0]","[0.21714328038962583, 0.21164886242026565, 0.5712078571901086]",1,3,0,3478096,3478096.0,1.8537872167892102,0,15.009688138961792,0,"[5904663.629916704, 4446082.448188201, 42376357.64446273]","[2, 1, 6]","[9303865.030397179, 4519048.0]","['; gamma used= 0.33333333333333337', 'flipped coin and will select greedily...', 'averageBytePerNet:[2952331.814958352, 4446082.448188201, 7779652.328892546], numNetworkHighestAverageByte: 1', 'choosing greedily']"
51,1498747469.5310278,"29/06/2017 22:44:29",27,2,0.33333333333333337,41250000.0,"[0.22622941159454726, 0.21450656415380617, 1.0]","[0.215085306717491, 0.20962815422558273, 0.5752865390569264]",1,3,0,4361504,4361504.0,2.324587479729291,0,15.009988784790039,0,"[5904663.629916704, 4446082.448188201, 46737861.64446273]","[2, 1, 7]","[9303865.030397179, 4519048.0]","['; gamma used= 0.32931687800417475', 'no selection ----- in the middle of a block']"
52,1498747484.5410166,"29/06/2017 22:44:44",28,2,0.32931687800417475,41250000.0,"[0.22103838580273583, 0.20958452904269112, 1.0]","[0.21339618484310707, 0.208026559953833, 0.5785772552030599]",0,3,0,3105832,3105832.0,1.6552956344576386,0,15.010403871536255,0,"[5904663.629916704, 4446082.448188201, 49843693.64446273]","[2, 1, 8]","[3478096.0, 4361504.0]","['; gamma used= 0.32931687800417475', 'flipped coin but will not select greedily...', 'choosing randomly']"
